,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
168,Shaoyang,0,CN,1538764673,76,27.23,111.45,53.06,3.27
169,Jacksonville,40,US,1538763300,55,30.33,-81.66,87.98,5.82
170,Lake Cowichan,90,CA,1538762400,93,48.82,-124.05,48.2,2.24
171,Chuy,0,UY,1538764680,86,-33.69,-53.46,58.37,15.68
172,Idrinskoye,20,RU,1538764682,81,54.37,92.14,32.09,2.15
173,Nemuro,80,JP,1538764684,98,43.32,145.57,60.17,10.09
174,La Ronge,75,CA,1538762400,45,55.1,-105.3,44.6,14.99
175,Yeppoon,75,AU,1538762400,82,-23.13,150.74,66.2,3.36
176,Arraial do Cabo,75,BR,1538762400,73,-22.97,-42.02,73.4,6.93
177,Soyo,0,AO,1538764693,71,-6.13,12.37,78.8,6.85
178,Gagnoa,56,CI,1538764695,91,6.13,-5.95,77.18,4.94
179,Maradi,20,NE,1538762400,49,13.5,7.1,93.2,4.7
180,Beidao,48,CN,1538764699,88,34.57,105.89,42.17,2.82
181,Clyde River,75,CA,1538762400,86,70.47,-68.59,28.4,20.8
182,Borovskoy,48,KZ,1538764704,37,53.8,64.15,58.73,12.66
183,Manicore,8,BR,1538764459,33,-5.81,-61.3,99.59,3.15
184,Havoysund,75,NO,1538763600,86,71.0,24.66,35.6,2.24
185,Bethel,40,US,1538761980,92,60.79,-161.76,41.0,5.82
186,Karratha,0,AU,1538764712,40,-20.74,116.85,72.14,10.76
187,Del Rio,75,US,1538762160,74,29.36,-100.9,82.94,11.41
188,Praia,75,BR,1538762400,51,-20.25,-43.81,86.0,10.29
189,Fairbanks,1,US,1538762280,17,64.84,-147.72,37.94,3.36
190,Bichura,92,RU,1538764723,85,50.59,107.6,29.93,7.63
191,Bellevue,90,US,1538762520,82,47.61,-122.19,50.0,6.93
192,Ondarroa,0,ES,1538764200,72,43.32,-2.42,69.8,3.36
193,Souillac,0,FR,1538762400,46,45.6,-0.6,73.4,5.82
194,Jumla,0,NP,1538764731,80,29.28,82.18,30.29,2.48
195,Port Blair,92,IN,1538764684,98,11.67,92.75,85.19,2.48
196,Malgrat de Mar,20,ES,1538764200,82,41.65,2.74,69.8,4.7
197,Praia da Vitoria,40,PT,1538762400,77,38.73,-27.07,68.0,29.77
198,Shimoda,75,JP,1538763180,94,34.7,138.93,71.6,3.36
199,Nome,90,US,1538763300,57,30.04,-94.42,89.96,12.75
200,Angol,0,CL,1538762400,46,-37.8,-72.71,71.6,5.82
201,Mareeba,75,AU,1538762400,88,-16.99,145.42,68.0,2.71
202,Careiro da Varzea,40,BR,1538762400,47,-3.2,-59.81,96.8,8.05
203,Avarua,75,CK,1538762400,64,-21.21,-159.78,75.2,10.29
204,Broome,0,GB,1538763600,93,52.47,1.45,62.24,4.7
205,Shache,64,CN,1538764553,52,38.42,77.24,53.96,3.71
206,Belyy Yar,20,RU,1538762400,93,53.6,91.39,37.4,2.82
207,Apastovo,75,RU,1538762400,80,55.2,48.51,41.0,13.42
208,Talnakh,100,RU,1538764767,90,69.49,88.39,40.37,24.52
209,Manado,20,ID,1538762400,94,1.49,124.85,71.6,1.12
210,Longyearbyen,90,NO,1538761800,92,78.22,15.63,24.8,8.05
211,Kaitangata,0,NZ,1538764773,71,-46.28,169.85,36.59,5.17
212,East London,0,ZA,1538762400,77,-33.02,27.91,64.4,10.29
213,Deming,1,US,1538763300,26,32.27,-107.76,80.96,11.41
214,Norman Wells,90,CA,1538762400,79,65.28,-126.83,24.8,3.49
215,Hovd,0,NO,1538763600,70,63.83,10.7,46.4,9.17
216,Lockhart,44,AU,1538762400,70,-35.22,146.72,48.2,6.93
217,Dzerzhinskoye,36,RU,1538764787,87,56.84,95.22,33.62,2.37
218,Mahebourg,20,MU,1538762400,69,-20.41,57.7,73.4,3.36
219,Bambous Virieux,20,MU,1538762400,69,-20.34,57.76,73.4,3.36
220,Santa Lucia,40,IT,1538762100,82,39.93,9.66,64.4,3.36
221,Ritchie,0,ZA,1538762400,64,-29.03,24.6,71.6,2.93
222,Matagami,88,NG,1538764798,95,9.67,8.4,69.89,3.04
223,Savannah Bight,92,HN,1538764802,100,16.45,-85.85,77.45,10.42
224,Sinnamary,0,GF,1538764788,81,5.38,-52.96,85.82,9.75
225,Udachnyy,24,RU,1538764807,72,66.42,112.4,21.47,3.15
226,Mount Gambier,8,AU,1538764809,86,-37.83,140.78,46.22,3.38
227,Faanui,44,PF,1538764811,100,-16.48,-151.75,78.53,11.21
228,Kimbe,0,PG,1538764814,100,-5.56,150.15,77.72,9.75
229,Moose Factory,1,CA,1538762400,51,51.26,-80.61,39.2,9.17
230,Grindavik,40,IS,1538762400,64,63.84,-22.43,33.8,13.87
231,Narsaq,75,GL,1538761800,42,60.91,-46.05,46.4,23.04
232,Cap Malheureux,20,MU,1538762400,69,-19.98,57.61,73.4,3.36
233,Sarangani,8,PH,1538764825,99,5.4,125.46,83.12,6.06
234,Goryachegorsk,0,RU,1538764827,78,55.41,88.92,27.77,2.15
235,Peace River,90,CA,1538762400,68,56.23,-117.29,28.4,8.05
236,Kuching,75,MY,1538762400,94,1.56,110.34,78.8,1.12
237,San Quintin,75,PH,1538762400,88,17.54,120.52,75.2,2.24
238,Seymchan,92,RU,1538764836,88,62.93,152.39,27.86,13.56
239,Novichikha,0,RU,1538764838,77,52.2,81.39,35.87,2.82
240,Les Cayes,92,HT,1538764731,100,18.19,-73.75,74.39,8.19
241,La Romana,40,DO,1538762400,83,18.43,-68.97,84.2,4.7
242,Atbasar,8,KZ,1538764845,33,51.81,68.36,55.76,12.66
243,Rurrenabaque,40,BO,1538762400,69,-14.44,-67.53,80.6,5.82
244,Sicamous,90,CA,1538762400,86,50.84,-118.99,39.2,1.7
245,Santa Vitoria do Palmar,0,BR,1538764853,86,-33.52,-53.37,58.37,15.68
246,Gernsheim,0,DE,1538763600,67,49.75,8.49,61.7,5.61
247,Usinsk,92,RU,1538764857,100,66.0,57.56,37.76,5.39
248,Fenoarivo,20,MG,1538762400,82,-18.93,47.44,62.6,12.75
249,Los Llanos de Aridane,75,ES,1538764200,73,28.66,-17.92,75.2,4.7
250,Lompoc,1,US,1538762280,73,34.64,-120.46,71.06,13.87
251,Dong Xoai,56,VN,1538764868,96,11.53,106.92,73.04,2.37
252,Viedma,0,AR,1538764870,37,-40.81,-62.99,69.89,15.57
253,Nanortalik,92,GL,1538764874,94,60.14,-45.24,39.11,9.64
254,Valdosta,40,US,1538762160,49,30.83,-83.28,89.6,3.36
255,Sakaiminato,75,JP,1538762400,83,35.55,133.23,71.6,3.36
256,Beya,24,RU,1538764883,97,53.05,90.92,35.24,3.6
257,Imbituba,75,BR,1538762400,59,-28.24,-48.67,66.2,12.75
258,Lexington,20,US,1538762100,65,38.05,-84.5,86.0,12.75
259,Cotonou,40,BJ,1538762400,88,6.37,2.43,80.6,10.29
261,Airai,8,TL,1538764899,69,-8.93,125.41,60.17,1.7
262,Aklavik,75,CA,1538762400,79,68.22,-135.01,24.8,8.05
263,Tpig,20,RU,1538764903,60,41.78,47.59,30.74,1.14
264,Nago,20,IT,1538761800,63,45.88,10.89,66.2,2.24
265,Cockburn Town,88,TC,1538764686,100,21.46,-71.14,80.33,10.98
266,Uchiza,68,PE,1538764912,77,-8.46,-76.46,77.99,2.59
267,Poso,12,ID,1538764914,100,-1.4,120.75,76.64,4.16
268,Alta,75,NO,1538763600,100,69.97,23.27,35.6,3.36
269,Blantyre,0,MW,1538764918,63,-15.79,35.0,71.06,10.2
270,Bestobe,12,KZ,1538764920,36,52.5,73.1,54.14,10.98
271,Almeirim,0,PT,1538762400,26,39.21,-8.63,80.6,10.29
272,Flinders,90,AU,1538762400,87,-34.58,150.85,51.8,8.05
273,Sete Lagoas,40,BR,1538762400,45,-19.47,-44.25,84.2,11.41
274,Dzhebariki-Khaya,88,RU,1538764929,95,62.22,135.8,30.11,2.59
275,Florianopolis,75,BR,1538762400,59,-27.6,-48.55,66.2,12.75
276,Atasu,0,KZ,1538764933,40,48.68,71.64,44.69,5.73
277,Kruisfontein,20,ZA,1538764935,80,-34.0,24.73,65.93,10.98
278,Port-Gentil,75,GA,1538762400,88,-0.72,8.78,80.6,11.41
279,Hamilton,75,BM,1538762100,74,32.3,-64.78,78.8,13.87
280,Wonthaggi,0,AU,1538764942,95,-38.6,145.59,47.84,2.93
281,Torbay,40,CA,1538762400,77,47.66,-52.73,64.4,14.99
282,Kurmanayevka,92,RU,1538764948,93,52.51,52.07,45.59,13.0
283,Quepos,75,CR,1538762400,93,9.43,-84.16,68.0,6.93
284,Hirara,92,JP,1538764952,100,24.8,125.28,76.37,1.7
285,Xining,88,CN,1538764955,98,36.62,101.77,31.1,2.59
286,Qaqortoq,75,GL,1538761800,42,60.72,-46.03,46.4,23.04
287,Iqaluit,75,CA,1538762400,64,63.75,-68.52,35.6,20.8
288,Lisala,36,CD,1538764961,97,2.15,21.52,72.95,3.04
289,Chicama,90,PE,1538762400,82,-7.84,-79.15,68.0,10.29
290,San Juan,0,AR,1538764969,34,-31.54,-68.53,79.88,6.73
291,Teya,75,MX,1538761740,59,21.05,-89.07,89.6,6.93
292,Vrangel,92,RU,1538764974,100,42.73,133.08,58.91,1.81
293,Port-Cartier,75,CA,1538762400,39,50.03,-66.88,46.4,12.75
294,Cairns,75,AU,1538762400,88,-16.92,145.77,68.0,3.15
295,Yaan,32,NG,1538764980,96,7.38,8.57,75.11,3.04
296,Weligama,80,LK,1538764982,100,5.97,80.42,77.9,8.41
297,Agueda,0,PT,1538762400,82,40.58,-8.44,62.6,9.17
298,Yar-Sale,64,RU,1538764986,93,66.83,70.83,48.11,15.46
299,Muros,0,ES,1538764200,48,42.77,-9.06,62.6,4.7
300,Dhar,40,IN,1538762400,78,22.6,75.31,75.2,2.24
301,Isiro,76,CD,1538764993,99,2.77,27.62,67.46,2.37
302,Benguela,0,AO,1538764995,92,-12.58,13.4,71.24,5.73
303,Madiun,32,ID,1538764997,94,-7.63,111.52,68.63,3.04
304,Vagur,48,FO,1538765000,100,61.47,-6.81,47.12,19.26
305,Turayf,40,SA,1538762400,27,31.68,38.65,75.2,6.93
306,Miranda de Ebro,0,ES,1538764200,52,42.69,-2.95,68.0,1.12
307,Tignere,44,CM,1538765008,93,7.37,12.65,69.17,3.6
308,Saldanha,0,PT,1538765010,39,41.42,-6.55,67.82,4.5
309,Capreol,90,CA,1538762400,60,46.71,-80.92,41.0,12.75
310,Seoul,90,KR,1538764200,82,37.57,126.98,66.2,10.29
311,Vargashi,20,RU,1538765017,49,55.36,65.85,55.31,13.67
312,Klaksvik,56,FO,1538763600,100,62.23,-6.59,42.8,12.75
313,Shenjiamen,88,CN,1538765021,96,29.96,122.3,72.14,31.12
314,Kursenai,90,LT,1538763600,93,55.98,22.92,53.6,12.75
315,Neuquen,0,AR,1538762400,25,-38.95,-68.06,71.6,13.87
316,Andros Town,20,BS,1538762400,58,24.73,-77.79,86.0,12.75
317,Longhua,40,CN,1538762400,93,29.21,106.21,64.4,2.82
318,Mount Isa,0,AU,1538762400,34,-20.73,139.49,68.0,6.93
319,Pevek,64,RU,1538764825,100,69.7,170.27,35.69,5.61
320,Newport,75,GB,1538763600,100,51.59,-3.0,62.6,4.7
321,Yokadouma,12,CM,1538765040,82,3.52,15.05,75.92,3.38
322,Thongwa,20,MM,1538764200,94,16.76,96.52,80.6,2.24
323,Merced,1,US,1538761980,63,37.3,-120.48,69.98,9.17
324,Swan Hill,0,AU,1538764991,79,-35.34,143.56,51.71,5.17
325,Ust-Tsilma,0,RU,1538765053,93,65.44,52.15,29.57,2.71
326,Dossor,0,KZ,1538765055,57,47.52,52.98,50.0,13.67
327,Tuatapere,8,NZ,1538764771,100,-46.13,167.69,42.71,5.84
328,Troitsko-Pechorsk,88,RU,1538765059,92,62.71,56.19,43.16,4.72
329,Chongwe,0,ZM,1538765061,32,-15.33,28.68,74.66,8.86
330,Ishigaki,92,JP,1538765063,100,24.34,124.16,78.89,6.17
331,Pustoshka,92,RU,1538765066,95,56.34,29.37,52.16,18.59
332,Nisia Floresta,75,BR,1538762400,65,-6.09,-35.21,82.4,17.22
333,Idah,48,NG,1538765070,92,7.11,6.73,77.54,4.5
334,Khani,75,GE,1538762400,87,41.96,42.96,55.4,6.93
335,Severo-Kurilsk,0,RU,1538765074,92,50.68,156.12,46.13,16.24
336,Sao Filipe,0,CV,1538765077,88,14.9,-24.5,82.4,9.31
337,Misratah,0,LY,1538765079,81,32.38,15.09,77.99,6.85
338,Bambanglipuro,8,ID,1538764870,98,-7.95,110.28,68.54,1.92
339,Ribeira Grande,40,PT,1538762400,64,38.52,-28.7,69.8,12.75
340,Dapitan,90,PH,1538762400,83,10.27,123.95,80.6,2.24
341,Constitucion,5,MX,1538761500,40,23.99,-104.67,71.6,5.82
342,Sabang,64,PH,1538765092,100,13.72,123.58,77.54,3.71
343,Ewa Beach,1,US,1538762220,76,21.32,-158.01,80.96,3.36
344,Lokosovo,32,RU,1538765099,66,61.13,74.84,53.51,9.98
345,Vestmannaeyjar,0,IS,1538761500,59,63.44,-20.27,37.4,25.28
346,Burriana,0,ES,1538764200,69,39.89,-0.08,73.4,6.93
347,Pauini,44,BR,1538765105,91,-7.71,-67.0,81.59,3.71
348,Porto Velho,32,BR,1538765108,81,-8.75,-63.87,84.92,3.15
349,Faya,0,SA,1538762400,19,18.39,42.45,71.6,11.41
350,Ilulissat,20,GL,1538761800,39,69.22,-51.1,28.4,6.93
351,Matadi,24,CD,1538765114,60,-5.83,13.46,83.84,8.75
352,Vardo,90,US,1538763300,61,39.62,-77.74,68.0,5.82
353,Coihaique,0,CL,1538762400,36,-45.58,-72.07,60.8,2.24
354,Kroya,12,ID,1538765121,91,-6.5,108.06,71.51,3.15
355,Vila Velha,40,BR,1538762400,62,-3.71,-38.6,84.2,17.22
356,Chhata,0,IN,1538765125,57,27.72,77.5,73.49,6.06
357,Half Moon Bay,75,US,1538762160,65,37.46,-122.43,68.0,3.36
358,Port Hedland,0,AU,1538764200,73,-20.31,118.58,73.4,10.29
359,Riyadh,0,SA,1538762400,12,24.63,46.72,86.0,7.85
360,Jablah,0,SY,1538762400,78,35.36,35.93,75.2,4.7
361,Podgornoye,64,RU,1538765136,58,57.79,82.64,53.06,6.51
362,Ous,68,RU,1538765138,91,60.91,61.52,40.28,2.48
363,Aksaray,0,TR,1538761800,50,38.37,34.03,55.4,21.92
364,Mercedes,0,UY,1538765143,58,-33.25,-58.03,68.54,6.17
365,Sapa,20,PH,1538762400,100,14.32,120.76,78.8,4.61
366,Tual,0,ID,1538765149,98,-5.67,132.75,80.33,5.73
367,Provideniya,92,RU,1538765151,97,64.42,-173.23,46.49,19.15
368,Lagoa,0,PT,1538764200,69,37.14,-8.45,73.4,5.82
369,Kamaishi,92,JP,1538765156,96,39.28,141.86,62.33,1.92
370,Banda Aceh,92,ID,1538765158,100,5.56,95.32,72.77,2.26
371,Gigmoto,56,PH,1538765161,100,13.78,124.39,77.27,4.38
372,Oranjemund,0,ZA,1538765163,92,-28.55,16.43,58.19,7.52
373,Muisne,0,EC,1538765165,68,0.61,-80.02,85.64,5.61
374,Mahibadhoo,92,MV,1538765168,100,3.78,72.97,81.59,26.42
375,Trojas,40,AL,1538763600,82,40.99,19.9,68.0,6.93
